config_name,algorithm,training_time,mean_reward,std_reward,mean_food_saved,mean_food_wasted,mean_avg_quality,mean_efficiency
a2c_entropy,A2C,453.417509,121.47395832044438,4.394173556542423,3.0654711747074526,0.23105815177615524,0.13486391072434686,92.78381056776597
a2c_baseline,A2C,440.885497,120.07888769739168,9.506957037372844,3.2136014996874445,0.2233010076079387,0.13178069219895616,93.37609613915276
a2c_high_vf,A2C,494.239158,118.79194243517907,7.055221601542849,3.1262423968302193,0.23023722405349112,0.12837251535663335,92.85936534341697
a2c_wide,A2C,569.069339,116.90462852586995,5.8643225466630415,2.9340175846599204,0.2477717476071907,0.11229694962427643,91.77371034739208
a2c_long_rollout,A2C,305.254865,116.02627691656514,7.481448281710981,3.164276794810687,0.23879313283782025,0.1409416359627664,92.71305816122764
a2c_aggressive,A2C,496.054568,110.19906565478257,16.235117384838347,2.5036253962287605,0.06468067960774185,0.12480968806434793,97.37308456598724
a2c_balanced,A2C,389.00708,105.55914114818765,20.42012357323719,3.091950585267357,0.23380726068927465,0.09473295022581835,92.71174165383583
a2c_medium_rollout,A2C,468.087894,100.42083772864153,17.53499658265104,0.6235603711723893,0.003465410085307935,0.11831821639365078,19.87886853240839
a2c_high_lr,A2C,526.739601,99.57378423702981,22.007588809711002,3.106210906875987,0.21835853059215818,0.11450597282994535,93.32533776538028
a2c_deep,A2C,520.037903,93.89880288198579,25.86298259428512,3.0060023692263576,0.2728086818804797,0.1365101030208539,91.38690425418334
